Sträcka       Herrar  Damer
50m Frisim    20.16   22.93 
100m Frisim   44.84   50.25
200m Frisim   99.37   110.31
400m Frisim   212.25  233.92
800m Frisim   443.42  479.34
1500m Frisim  846.88  918.01
50m Ryggsim   22.22   25.27
100m Ryggsim  48.33   54.89
200m Ryggsim  105.63  118.94
50m Fjärilsim    21.75   24.38
100m Fjärilsim   47.78   54.59
200m Fjärilsim   108.24  119.61
50m Bröstsim  24.95   28.56
100m Bröstsim 55.28   62.36
200m Bröstsim 120.16  134.57
100m Medley   49.28   56.51
200m Medley   109.63  121.86
400m Medley   234.81  258.94
4x50m Medley  90.14   102.38
4x100m Medley 199.16  224.52
4x50m Frisim  81.80   92.5
4x100m Frisim 183.03  206.53
4x200m Frisim 199.16  224.52
